id,name,address,phone,dob
2938,Courtney Terry,"2681 St-Jerome Street, St Jerome QC S4P 3Y2",2504104895,1939-09-23
2134,Ann Suarez,"148 Pape Ave, Toronto ON M4E 2V5",9026731442,1943-03-26
1402,Mrs. Paula Stokes,"169 rue des Églises Est, Malartic QC J0Y 1Z0",5816564037,1943-09-08
1706,Kathleen Maynard,"3145 Richford Road, Napierville QC J0J 1L0",7056734675,1949-08-14
2437,Jesse Little,"497 Bellwood Acres Rd, Huntsville ON P0A 1K0",4182251914,1949-09-23
2601,Christopher Palmer,"4394 Islington Ave,  Toronto ON M9V 2X5",6137195991,1950-08-02
2031,Paul Lee,"1942 Victoria Park Ave, Toronto ON M2J 3T7",5146048551,1960-09-05
1024,Debbie Thomas,"3723 Robsonn St, Vancouver BC V6B 3K9",6472567690,1960-12-25
2842,Anne Herrera,"291 Speers Road, Oakville ON L6H 3H5",3064926442,1961-07-27
1525,Eric Campbell,"2531 King George Hwy, Surrey BC V3W 4E3",9058798716,1967-07-14
1095,Kathryn Cobb,"2676 Dufferin Street, Toronto ON M6H 4B6",2502542657,1967-12-13
1365,Mark Shaw,"4798 René-Lévesque Blvd, Montreal QC H3B 4W8",2046634936,1972-04-29
1292,Maria Brewer,"2333 Ontario St, St Catharines ON L2N 1S8",4503243385,1974-03-04
1011,William Riley,"752 Tanner Street, Vancouver BC V5R 2T4",5879828394,1975-02-06
1040,Michael Hill,"2639 Sherbrooke Ouest, Montreal QC H4A 1H3",5143083602,1983-08-10
1834,Kathleen Roberts,"1682 MacLaren Street, Ottawa ON K1P 5M7",4166282460,1986-06-17
2074,Stephanie Underwood,"2893 Runnymede Rd, Toronto ON M6S 2Z7",4163736864,1990-11-22
2788,Kaitlin Nguyen,"2893 137th Avenue, Edmonton AB T5M 3K3",5198814123,1994-07-18
2691,Daniel Jenkins,"2290 rue de la Gauchetière, Montreal QC H3B 2M3",7097753355,2005-12-05
2969,Joshua Cox,"3611 Brew Creek Rd, Vananda BC V0N 3K0",8192247253,2006-11-26
1141,Danielle Robertson,"3504 Rose Street, Regina SK S4P 3Y2",2264022037,2012-08-27
2396,Mr. Matthew Bennett,"4369 Wallbridge Loyalist Rd, Belleville ON K8N 1L9",4032739074,2012-08-28
2491,James Wilson,"173 Heritage Drive, Calgary AB T2V 2W2",7095353725,1932-01-18
1918,Ann Banks,"2169 St. Paul Street, St Catharines ON L2S 2K4",4039047925,1932-07-01
1961,Joshua Johnson,"391 rue Saint-Édouard, Trois Rivieres QC G9A 5S8",7092956054,1935-12-08
2909,Allison Woods,"4596 Duke Street, Montreal QC H3C 5K4",7802812007,1937-04-28
1966,Mary Burns,"3970 Bloor Street, Ardrossan AB T0B 0E0",4388859728,1952-09-03
1174,David Miles,"4096 rue Ellice, Joliette QC J6E 3E8",5877738295,1957-11-08
2190,Shannon Vazquez,"4991 Bayfield St, Richmond Hill ON L4C 3Y2",6136772084,1960-01-20
2420,Amanda Freeman,"4862 Reserve St, Cambray ON K0M 1E0",2045041100,1964-09-01
1340,Kristi Gibson,"86 Eglinton Avenue, Toronto ON M4P 1A6",4506627916,1965-09-23
1467,Joseph Scott,"4065 Eglinton Avenue, Tornoto ON M4P 16A",8676951372,1970-05-24
2245,Randall Herrera,"3941 Danforth Avenue,  Toronto ON M4K 1A6",5142319385,1972-09-20
1144,Christina Wiggins,"4046 40th Street, Calgary AB T2M 0G6",4189156299,1976-01-16
2132,Jeremy Vega,"1507 St. John Street, Beechy SK S4P 3Y2",9028773868,1981-06-30
1419,Jessica Duarte,"4511 Main St,  Theodore SK S0A 4C0",2504907530,1986-07-30
2811,Ronald Joseph,"2764 rue des Érables, Clermont QC G4A 1J8",6132228814,1994-12-03
1767,Tiffany Smith DDS," 2325 Lock Street, Galt ON N1R 3Y8",8195188656,1995-08-07
1192,Jeffrey Cox,"1425 Speers Road, Maple ON L6A 1G5",4167007046,1997-03-16
2179,Johnny Smith,"3229 Fallon Drive, Dungannon ON N0M 1R0",5198317209,1998-08-04
2440,Brian Banks,"4588 Merivale Road, Stittsville ON K2S 1B9",2049058928,2004-10-18
1743,Andres Walker,"4078 Riedel Street, Fort Mcmurray AB T9H 3J9",9028957794,2005-01-12
1740,Jason Jones,"1818 Main St, Black Lake QC S0J 0H0",4166946750,2005-03-22
1751,Charles Thomas,"2638 Heatherleigh, Cooksville ON L5A 1V9",4165125956,2011-09-24
1333,Cody Nichols,"2249 René-Lévesque Blvd, Montreal QC H3B 4W8",5195877330,2013-01-08
2462,Tanner Brooks,"833 Nelson Street, Nobel QC P0G 1G0",2508273425,1934-05-11
1568,Meredith Schroeder,"4573 Tycos Dr, Toronto ON M5T 1T4",6044291322,1935-01-21
1778,Kevin Oconnor,"2667 rue des Églises Est, Lavenir QC J0C 1B0",6048816646,1939-07-17
1008,Tina Thompson,"796 avenue Royale, Quebec QC G1P 4R5",9022831809,1946-04-24
2670,Regina Rowe,"2125 Parkdale Ave, Brockville ON K6V 4X4",5196191680,1930-11-27
1211,Zachary Dawson,"1306 Merivale Road, Kanata ON K2K 1L9",2503804007,1933-06-27
1982,Crystal Vargas,"3705 Nelson Street, Delvin ON POW 1C0",6047354178,1933-11-21
1930,Joy Castillo,"1914 Parkdale Ave, Cornwall ON K6J 3P7",2263493384,1934-02-13
1536,Kenneth Moore,"2424 Heritage Drive, Calgary AB T2V 2W2",2264298592,1937-12-22
2017,Tammy Griffin,"635 Lynden Road, Orono ON L0B 1M0",8194609645,1939-10-23
1445,Christopher Sanchez IV,"1163 Weir Crescent, Toronto ON M1E 3T8",2266721694,1949-06-28
2712,Cassandra Alexander,"497 Bellwood Acres Rd, Huntsville ON P0A 1K0",6132478505,1951-09-28
1848,Jimmy Carpenter," 2546 Fallon Drive, Bayfield ON N0M 1G0",7785909708,1953-10-13
1339,David Castillo,"3385 40th Street, Calgary AB T2K 0P7",2046808534,1958-07-04
2972,Andrew Sims,"2304 Fallon Drive, Tiverton ON N0G 2T0",7096477975,1963-01-05
2793,Nathaniel Pena,"2536 Sherbrooke Ouest, Montreal QC H4A 1H3",2042926238,1964-02-05
2200,Joseph Davis,"1377 Glover Road, Fort Langley BC V3A 6X5",2504369132,1964-07-09
1531,Joshua Smith,"2229 Lockhart Drive, Barrie ON L4M 3B1",7787289364,1964-07-30
2186,Melissa Grant,"1012 90th Avenue, Brooks AB T0J 0J0",4163237965,1964-11-03
1035,April Harrison,"2019 90th Avenue, Delia AB T0J 0W0",7095211188,1966-04-02
1080,Kimberly Smith,"2051 Birkett Lane, Brantford ON N3T 2Z8",5194326771,1969-07-15
1838,Maria Davis,"316 Bay Street, Toronto ON M5J 2R8",7058501259,1971-06-02
1021,Sarah Diaz,"3594 Reserve St, Frankford ON K0K 2C0",8194435812,1985-03-16
1416,Emily Davidson,"2422 Central Pkwy, Mississauga ON L5L 5S1",4039085366,1986-06-03
2030,Antonio Lucas,"1807 Albert Street,  Herbert SK S4P 3Y2",6475887246,1992-05-27
3001,Jacob Smith,"3572 Bloor Street, Vegreville AB T0B 4L0",2893345301,1994-07-20
1766,Daniel Rodriguez,"1011 Tolmie St, Vancouver BC V6R 4C5",4168804379,1995-02-26
2642,Matthew Jones,"1536 Blanshard, Victoria BC V8W 2H9",6477594289,1935-06-24
2279,Michael Wong,"2353 rue des Églises Est, Rochebaucourt QC J0Y 2J0",8077285012,1944-02-03
1013,Ryan Ross,"699 Nelson Street, Hudson ON P0V 1X0",2263592996,1945-12-28
1562,Elizabeth Taylor,"2092 Nelson Street, Pass Lake ON P0T 2M0",2895743935,1949-05-21
2358,Ryan Moore,"2650 St Jean Baptiste St, St Magloire QC G0R 3M0",6048293570,1949-05-24
2118,Roger Torres,"818 Thurston Dr, Orleans ON  K1C 1T1",9025926389,1950-02-05
2970,Michael Cherry,"51 rue St-Henri, Ville Le Gardeur QC J5Z 1R6",2266268213,1950-06-12
2680,Stephanie Santana,"1914 Parkdale Ave, Cornwall ON K6J 3P7",5194806070,1950-07-17
1239,Ryan Williams,"3723 Robsonn St, Vancouver BC V6B 3K9",9028504271,1950-12-29
1655,William Bennett,"4078 Riedel Street, Fort Mcmurray AB T9H 3J9",5142004705,1952-12-23
1604,Mitchell Gates,"1807 Albert Street,  Herbert SK S4P 3Y2",5193336507,1957-05-29
1702,Ryan Hammond,"3594 Reserve St, Frankford ON K0K 2C0",4184391708,1958-09-27
1812,Mikayla Matthews," 2546 Fallon Drive, Bayfield ON N0M 1G0",4167432876,1961-02-16
2144,Justin Trujillo,"1306 Merivale Road, Kanata ON K2K 1L9",5196218128,1966-01-15
1045,Mr. Carlos Yates,"1507 St. John Street, Beechy SK S4P 3Y2",3063311450,1967-03-11
1503,Isabella Mann DDS,"818 Thurston Dr, Orleans ON  K1C 1T1",4502338519,1967-07-29
2849,Alex Hicks,"1617 Main St, Manor SK S0C 1R0",8679959736,1969-11-02
2145,Diana Bell,"4896 Whitmore Road,  Fort Erie ON L0L 0L0",5147657201,1970-05-23
2715,Vanessa Wells,"1682 MacLaren Street, Ottawa ON K1P 5M7",6474279669,1970-08-29
1250,Christopher Berg,"1914 Parkdale Ave, Cornwall ON K6J 3P7",2896794938,1976-03-02
2103,Brandon Wu,"2092 Nelson Street, Pass Lake ON P0T 2M0",5147425868,1976-07-13
1120,Dillon Savage,"4573 Tycos Dr, Toronto ON M5T 1T4",7802643373,1984-09-26
1031,Christina Gallagher DDS,"559 rue Fournier, St Jerome QC J7Z 4V1",8075998048,1998-03-14
2343,Justin Franco,"557 rue Saint-Antoine, Granby QC J2H 2H5",6138463850,2000-06-17
1670,Carol Morris,"4369 Wallbridge Loyalist Rd, Belleville ON K8N 1L9",5063605884,2002-02-24
2226,Keith Harris,"2531 King George Hwy, Surrey BC V3W 4E3",5146474656,1952-01-23
2020,Taylor Clayton,"51 rue St-Henri, Ville Le Gardeur QC J5Z 1R6",8194322828,1952-07-17
1729,Cody Jordan,"2681 St-Jerome Street, St Jerome QC S4P 3Y2",7806228627,1954-10-31
1183,Jennifer Hartman MD,"2667 rue des Églises Est, Lavenir QC J0C 1B0",7784544494,1955-01-12
2032,Andrew Harrison,"2676 Dufferin Street, Toronto ON M6H 4B6",8195061218,1955-07-13
1308,Leah Beck,"4964 Blind Bay Road, Salmon Arm BC V0E 2T0",7096516131,1956-02-08
1639,Christopher Ramirez,"2229 Lockhart Drive, Barrie ON L4M 3B1",7096296885,1956-05-09
1457,Karen Green,"615 90th Avenue, Schuler AB T0J 3B0",7097476613,1956-10-24
2610,Spencer Smith,"1519 René-Lévesque Blvd, Montreal QC H3B 4W8",4182518568,1959-11-01
1860,Alexander Harris,"813 Blanshard, Victoria BC V8W 2H9",5148262661,1960-04-07
1177,Jeffrey Phillips,"1536 Blanshard, Victoria BC V8W 2H9",5143066887,1977-06-19
2122,Louis Watts,"2422 Central Pkwy, Mississauga ON L5L 5S1",6132971540,1978-05-30
2766,Taylor Parsons,"2893 137th Avenue, Edmonton AB T5M 3K3",2047559660,1979-02-02
2512,Cheryl Alexander,"2124 Adelaide St, Toronto ON M5H 1P6",7807992871,1979-11-30
2422,Jennifer Pierce,"3761 Venture Place, Slave Lake AB T0G 2A2",2049889867,1981-12-28
2893,James Johnson,"3145 Richford Road, Napierville QC J0J 1L0",6473028098,1983-04-17
2104,Jamie Vaughan,"3572 Bloor Street, Vegreville AB T0B 4L0",6479637888,1983-05-02
1696,Michelle Martinez,"316 Bay Street, Toronto ON M5J 2R8",9057174270,1985-04-14
1302,Doris Tucker,"3723 Robsonn St, Vancouver BC V6B 3K9",4035181922,1986-11-24
1026,Brandon Hernandez,"2421 Yonge Street, Toronto ON M4W 1J7",5196531686,1988-10-26
1372,Miranda Clark,"2650 St Jean Baptiste St, St Magloire QC G0R 3M0",2044096674,1989-03-20
1260,Samantha Moore,"4511 Main St,  Theodore SK S0A 4C0",4168841044,1989-06-08
1200,Julie Zamora,"2893 Runnymede Rd, Toronto ON M6S 2Z7",4505626174,1991-02-03
1917,Renee Hill,"1423 rue Levy, Montreal QC H3C 5K4",6473138628,2000-05-22
1486,Holly Lambert,"2304 Fallon Drive, Tiverton ON N0G 2T0",2893457666,2002-01-27
1404,Christine Riley,"699 Nelson Street, Hudson ON P0V 1X0",4038855723,1949-03-25
1256,Stacey Reese,"4313 Granville St,  Halifax NS B3K 5L2",6048947242,1955-08-07
1645,Lisa Kennedy,"4394 Islington Ave,  Toronto ON M9V 2X5",8675892946,1957-04-04
2484,Rachel Benson,"3705 Nelson Street, Delvin ON POW 1C0",4504194783,1961-02-05
1085,Melissa Khan,"1163 Weir Crescent, Toronto ON M1E 3T8",9028166520,1963-01-26
2755,Jamie Lyons,"169 rue des Églises Est, Malartic QC J0Y 1Z0",7055839912,1963-07-07
2841,Kari Murray,"4046 40th Street, Calgary AB T2M 0G6",4037857493,1967-04-11
1839,Amy Willis,"3504 Rose Street, Regina SK S4P 3Y2",7788692053,1967-05-27
2935,James Alvarado,"497 Bellwood Acres Rd, Huntsville ON P0A 1K0",9054237658,1976-04-15
2472,Marco Gonzalez,"2051 Birkett Lane, Brantford ON N3T 2Z8",4183469083,1980-04-10
2567,Shane Neal,"2424 Heritage Drive, Calgary AB T2V 2W2",2499946585,1980-10-29
2648,Wayne Lopez,"4637 Fallon Drive, Chesley ON N0G 1L0",2896789440,1981-06-16
2348,Catherine Pena,"2333 Ontario St, St Catharines ON L2N 1S8",2046543368,1982-01-02
1451,Cynthia Gonzalez,"4058 49th Avenue, Qikiqtarjuaq NU X0A 0B0",2045164936,1982-11-04
2093,Peter Miller,"2958 Beaver Creek, Thornhill ON L4J 1W2",7784571704,1987-05-24
2044,Anthony Stanton,"1012 90th Avenue, Brooks AB T0J 0J0",9023022175,1989-05-16
2673,Christina Hancock,"1011 Tolmie St, Vancouver BC V6R 4C5",3437003513,1991-08-15
2986,Emily Hartman,"2764 rue des Érables, Clermont QC G4A 1J8",6137457985,1993-08-30
2195,Kenneth Johnson,"796 avenue Royale, Quebec QC G1P 4R5",4166606125,1994-04-13
2327,Maxwell Thompson,"3611 Brew Creek Rd, Vananda BC V0N 3K0",5199428002,1996-01-29
2098,Lauren Horne,"2290 rue de la Gauchetière, Montreal QC H3B 2M3",7803937213,1996-02-23
2411,Jacob Martin,"148 Pape Ave, Toronto ON M4E 2V5",2893612975,1996-03-29
1941,Margaret Lee,"4588 Merivale Road, Stittsville ON K2S 1B9",7056776345,1996-08-22
1703,Mary Farrell,"3806 Fallon Drive, Durham ON N0G 1R0",4502337636,2003-07-27
1079,David Moore,"1942 Victoria Park Ave, Toronto ON M2J 3T7",2506884446,2004-06-17
1003,Lisa Garza,"497 Bellwood Acres Rd, Huntsville ON P0A 1K0",4033391775,1949-05-14
2038,Jeremy Perez,"2353 rue des Églises Est, Rochebaucourt QC J0Y 2J0",2049532878,1952-02-28
2764,Debra Smith,"3803 Gateway Blvd, Edmonton AB T6H 1J5",5147996849,1952-05-19
2311,Jose White,"4596 Duke Street, Montreal QC H3C 5K4",4187948022,1954-11-19
1802,Jaime Navarro,"2312 40th Street, Calgary AB T2C 2P3",3067408337,1955-03-03
1637,Adam Hawkins,"2536 Sherbrooke Ouest, Montreal QC H4A 1H3",7806514975,1956-04-14
2591,Patrick Fox,"2638 Heatherleigh, Cooksville ON L5A 1V9",7808322012,1958-05-23
1418,Joshua Campbell,"969 Brand Road, Saskatoon SK S7K 1W8",4035883631,1966-06-03
2944,David Johnson,"86 Eglinton Avenue, Toronto ON M4P 1A6",5148628744,1967-01-09
1136,Crystal Navarro,"4798 René-Lévesque Blvd, Montreal QC H3B 4W8",7056925451,1967-04-15
2513,Taylor Munoz,"1145 Montreal Road, Ottawa ON K1L 6C7",4166149118,1968-04-09
2556,Anthony Smith,"2125 Parkdale Ave, Brockville ON K6V 4X4",9025528695,1970-12-27
1526,John Brown Jr.,"2249 René-Lévesque Blvd, Montreal QC H3B 4W8",2042285645,1971-11-16
1415,Jordan Foster,"4862 Reserve St, Cambray ON K0M 1E0",5813425671,1977-03-09
1892,John Greer,"3229 Fallon Drive, Dungannon ON N0M 1R0",2892293812,1978-05-06
1681,Suzanne Ewing,"833 Nelson Street, Nobel QC P0G 1G0",6044914832,1981-01-05
1422,Lisa Hancock," 2325 Lock Street, Galt ON N1R 3Y8",2044591245,1981-08-11
2862,Jasmine Webb,"752 Tanner Street, Vancouver BC V5R 2T4",6133196676,1982-03-13
2516,Christopher Anderson,"1152 rue Levy, Montreal QC H3C 5K4",2505283883,1987-03-09
1806,Kevin Doyle,"635 Lynden Road, Orono ON L0B 1M0",6135914842,1988-11-25
1535,Kevin Cook," 2242 Carlson Road, Prince George BC  V2L 5E5",7782844881,1993-06-22
1762,Sean Buck,"4096 rue Ellice, Joliette QC J6E 3E8",4166285194,1996-03-06
1208,Christopher Martinez,"4991 Bayfield St, Richmond Hill ON L4C 3Y2",8678888107,1997-06-09
2080,Brian Howell,"1260 Bay Street, Toronto ON M5J 2R8",5148579513,2000-09-02
2683,Amy Dorsey,"2639 Sherbrooke Ouest, Montreal QC H4A 1H3",9025443680,2004-11-26
2417,Anthony Young,"391 St. John Street, Viscount SK S4P 3Y2",4164183312,1952-12-16
1219,Denise Miller,"2019 90th Avenue, Delia AB T0J 0W0",7097685096,1954-12-05
2540,Keith Morton,"2169 St. Paul Street, St Catharines ON L2S 2K4",7055701954,1955-01-17
2629,Tyler Richardson,"622 Nelson Street, Big Trout Lake ON P0V 1G0",6474831793,1959-07-08
1395,Christina Brewer,"3973 Brand Road, Saskatoon SK S7K 1W8",5067585676,1960-04-07
1155,Alexander Flynn,"3385 40th Street, Calgary AB T2K 0P7",4503458213,1962-10-17
1350,Alexander Schmidt,"291 Speers Road, Oakville ON L6H 3H5",8197655758,1964-01-06
2823,Jeffrey Russell,"391 rue Saint-Édouard, Trois Rivieres QC G9A 5S8",6139037819,1970-01-25
1600,Kenneth Farrell,"1377 Glover Road, Fort Langley BC V3A 6X5",7093264390,1974-06-28
1997,Ms. Donna Meadows DVM,"3941 Danforth Avenue,  Toronto ON M4K 1A6",2508989815,1977-05-23
1711,Donna Carr,"1415 40th Street, Calgary AB T2P 4L4",7785331282,1978-05-09
2192,Glen Lloyd,"1818 Main St, Black Lake QC S0J 0H0",6139396923,1979-05-07
1188,Susan Wagner,"4559 Riedel Street, Fort Mcmurray AB T9H 3J9",6477352290,1980-04-03
2427,Juan Golden,"4065 Eglinton Avenue, Tornoto ON M4P 16A",7782859164,1981-06-16
1330,Jamie Higgins,"3970 Bloor Street, Ardrossan AB T0B 0E0",2895966669,1982-09-07
2235,Steven Lopez,"173 Heritage Drive, Calgary AB T2V 2W2",4502752978,1983-02-03
1362,Kelly Hamilton,"1425 Speers Road, Maple ON L6A 1G5",3064048109,1983-06-21
1841,Ray Lewis,"4559 Riedel Street, Fort Mcmurray AB T9H 3J9",3063809502,1984-11-14
1588,Lauren Dominguez,"2333 Ontario St, St Catharines ON L2N 1S8",5063301548,1985-08-28
2721,Christopher Lane,"2124 Adelaide St, Toronto ON M5H 1P6",9057983459,1986-09-27
1428,Jimmy Watkins,"3572 Bloor Street, Vegreville AB T0B 4L0",2263508700,1992-03-16
1030,Michael Fitzgerald,"2958 Beaver Creek, Thornhill ON L4J 1W2",9028307557,1996-04-09
1118,Haley Finley,"1306 Merivale Road, Kanata ON K2K 1L9",7806789200,1996-08-28
1825,Tina Garcia,"497 Bellwood Acres Rd, Huntsville ON P0A 1K0",4037103094,1998-07-30
2349,Connor Mercado,"1145 Montreal Road, Ottawa ON K1L 6C7",3066868724,2001-01-18
1110,Christina Allen,"2422 Central Pkwy, Mississauga ON L5L 5S1",6136256440,1951-06-10
1796,Rachel Jones,"1536 Blanshard, Victoria BC V8W 2H9",7784056316,1951-07-03
2035,Ariana Watson,"2764 rue des Érables, Clermont QC G4A 1J8",5194352807,1953-12-14
2368,Erica Cervantes,"2092 Nelson Street, Pass Lake ON P0T 2M0",5148454321,1956-04-26
1947,Erik Campbell,"291 Speers Road, Oakville ON L6H 3H5",7783509600,1957-07-14
2863,Susan Johnson,"2893 137th Avenue, Edmonton AB T5M 3K3",9059668107,1958-03-10
2795,Parker Sanders,"173 Heritage Drive, Calgary AB T2V 2W2",2043603981,1961-01-13
1357,Devin Leon,"1415 40th Street, Calgary AB T2P 4L4",4187656230,1965-06-15
1180,Scott Mayer,"615 90th Avenue, Schuler AB T0J 3B0",6138823844,1969-02-28
1041,Tara Smith,"4394 Islington Ave,  Toronto ON M9V 2X5",5063618064,1970-05-06
2347,Beth Aguilar,"1507 St. John Street, Beechy SK S4P 3Y2",6138579176,1971-06-12
2230,Christina Gillespie,"4065 Eglinton Avenue, Tornoto ON M4P 16A",5065431123,1981-09-08
2114,Steven Smith,"752 Tanner Street, Vancouver BC V5R 2T4",2893378224,1984-06-18
2783,Karen Kelley,"4964 Blind Bay Road, Salmon Arm BC V0E 2T0",9052806556,1987-11-04
1924,Elizabeth Williams,"3145 Richford Road, Napierville QC J0J 1L0",9024525295,1988-09-29
1950,Brian Rodriguez,"3806 Fallon Drive, Durham ON N0G 1R0",4187137239,1988-10-25
2586,Richard Smith,"1807 Albert Street,  Herbert SK S4P 3Y2",4167162434,1988-10-30
2854,Richard Becker,"3941 Danforth Avenue,  Toronto ON M4K 1A6",5879832737,1992-11-26
1573,Samuel Smith,"2638 Heatherleigh, Cooksville ON L5A 1V9",6472075560,1995-03-29
1925,Vanessa Atkinson,"2051 Birkett Lane, Brantford ON N3T 2Z8",5196944215,1996-02-20
1107,Daniel Odonnell DVM,"818 Thurston Dr, Orleans ON  K1C 1T1",2507622209,1997-11-27
2306,Richard Ferguson,"4096 rue Ellice, Joliette QC J6E 3E8",7783162796,1998-01-11
1264,Beverly Kelly,"4798 René-Lévesque Blvd, Montreal QC H3B 4W8",8195883444,1999-12-25
1508,Joseph Thompson,"2229 Lockhart Drive, Barrie ON L4M 3B1",5876877874,2001-12-31
1399,Angela Little,"2019 90th Avenue, Delia AB T0J 0W0",3064535375,2002-05-17
2581,Angela Montes,"3973 Brand Road, Saskatoon SK S7K 1W8",2505518966,1949-01-30
2888,Stacy Adams,"2667 rue des Églises Est, Lavenir QC J0C 1B0",4388783317,1951-03-09
2896,Mathew Neal,"4596 Duke Street, Montreal QC H3C 5K4",7805315578,1951-03-13
2974,Timothy Schmidt,"2249 René-Lévesque Blvd, Montreal QC H3B 4W8",2505179765,1963-10-23
1747,Erin Meyer,"3229 Fallon Drive, Dungannon ON N0M 1R0",2266502477,1965-02-10
1066,Audrey Reed,"1914 Parkdale Ave, Cornwall ON K6J 3P7",2044766016,1967-06-30
1262,Patrick Winters,"3594 Reserve St, Frankford ON K0K 2C0",9028317299,1968-02-24
1156,Thomas Davis,"1260 Bay Street, Toronto ON M5J 2R8",7804366499,1969-04-17
1603,Dr. Mitchell Burke,"169 rue des Églises Est, Malartic QC J0Y 1Z0",7788271444,1971-09-08
1299,Troy Bailey,"1012 90th Avenue, Brooks AB T0J 0J0",5065425035,1972-02-10
1094,Michael Warner,"4313 Granville St,  Halifax NS B3K 5L2",5065483794,1976-06-08
1168,Audrey Schultz,"2290 rue de la Gauchetière, Montreal QC H3B 2M3",4186756881,1977-11-01
2738,Kenneth Dean,"3705 Nelson Street, Delvin ON POW 1C0",4189984331,1983-02-16
1186,Michelle Reed,"86 Eglinton Avenue, Toronto ON M4P 1A6",8199202046,1984-02-06
2794,Kevin Stewart,"622 Nelson Street, Big Trout Lake ON P0V 1G0",4507102947,1987-02-24
2315,Christopher Ward,"796 avenue Royale, Quebec QC G1P 4R5",5142946769,1988-07-13
2432,Samantha Duran,"3611 Brew Creek Rd, Vananda BC V0N 3K0",9052053020,1989-07-22
2732,Jason Gonzalez,"813 Blanshard, Victoria BC V8W 2H9",5798593304,1989-10-09
2781,Whitney Sullivan,"148 Pape Ave, Toronto ON M4E 2V5",5148175608,1990-11-27
2402,Wendy Ball,"557 rue Saint-Antoine, Granby QC J2H 2H5",2899713395,1994-03-18
2779,Shelby Harris,"2676 Dufferin Street, Toronto ON M6H 4B6",4387947675,1995-01-06
1854,Stephen Brown,"4511 Main St,  Theodore SK S0A 4C0",6137228815,1997-10-11
1083,Tiffany Moran,"1682 MacLaren Street, Ottawa ON K1P 5M7",5149838784,1998-05-25
2635,Jamie Briggs,"1423 rue Levy, Montreal QC H3C 5K4",5192121890,2001-09-24
1485,Christina Vargas,"1617 Main St, Manor SK S0C 1R0",5146133042,2002-09-07
1388,Erica Travis," 2546 Fallon Drive, Bayfield ON N0M 1G0",3063249363,1952-05-26
1647,Victor Reynolds,"2421 Yonge Street, Toronto ON M4W 1J7",2509336658,1952-06-17
1968,Douglas Morris,"1519 René-Lévesque Blvd, Montreal QC H3B 4W8",4034666870,1953-07-30
1542,Pamela Rivera,"1942 Victoria Park Ave, Toronto ON M2J 3T7",4188996966,1954-12-16
2392,Elizabeth Smith,"4058 49th Avenue, Qikiqtarjuaq NU X0A 0B0",9057458695,1955-10-31
